date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_59,aVWAP_BoS_CHoCH_bull_194,aVWAP_BoS_CHoCH_bull_269,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-04-21 17:00:00+00:00,47.235,47.255,46.87,47.025,69784.0,43.17792256273348,44.88848323203052,45.91459535849972,44.22016659227914,"rgba(38, 166, 154, 1.0)",2,1.2398501420763068,2.4797002841526137,0.0,0.0,0.0,0.0
2025-04-22 17:00:00+00:00,47.68,47.71,47.165,47.415,48024.0,43.19860051490557,44.90596603857528,45.93292531951882,44.237545132057384,"rgba(38, 166, 154, 1.0)",2,1.235946771375823,2.471893542751646,0.0,0.0,0.0,0.0
2025-04-23 17:00:00+00:00,47.91,48.26,47.81,48.065,34138.0,43.21529629030501,44.921240836005985,45.9509307583192,44.260118892339285,"rgba(38, 166, 154, 1.0)",2,1.228107936891669,2.456215873783338,0.0,0.0,0.0,0.0
2025-04-24 17:00:00+00:00,48.74,48.83,48.45,48.82,15067.0,43.22362292366173,44.92933898290137,45.96123551735645,44.27403797581806,"rgba(38, 166, 154, 1.0)",2,1.2116444926316288,2.4232889852632575,0.0,0.0,0.0,0.0
2025-04-25 17:00:00+00:00,48.365,49.0,48.365,48.99,13938.0,43.23142235233599,44.93696765280171,45.97099329599899,44.28702827798454,"rgba(38, 166, 154, 1.0)",2,1.1936576118550521,2.3873152237101043,0.0,0.0,0.0,0.0
2025-04-28 17:00:00+00:00,48.395,48.55,48.175,48.535,21010.0,43.24236789326548,44.94732479019575,45.98368388329396,44.302818208141936,"rgba(38, 166, 154, 1.0)",2,1.1808801635051211,2.3617603270102423,0.0,0.0,0.0,0.0
2025-04-29 17:00:00+00:00,49.04,49.9,49.02,49.9,23092.0,43.25708997344005,44.96250316340948,46.00420150568657,44.3303508565474,"rgba(38, 166, 154, 1.0)",2,1.1547862464425982,2.3095724928851964,0.0,0.0,0.0,0.0
2025-04-30 17:00:00+00:00,49.78,49.95,49.17,49.775,48356.0,43.28781980148284,44.99413875832058,46.04671558868487,44.3845407999727,"rgba(38, 166, 154, 1.0)",2,1.1321688413593607,2.2643376827187214,0.0,0.0,0.0,0.0
2025-05-01 17:00:00+00:00,49.79,50.05,49.64,49.81,21398.0,43.301752969317796,45.008604232402725,46.06625256330316,44.40863898373176,"rgba(38, 166, 154, 1.0)",2,1.1110716241491327,2.2221432482982655,0.0,0.0,0.0,0.0
2025-05-02 17:00:00+00:00,50.75,50.885,50.31,50.4,68731.0,43.350850475463645,45.061129591726974,46.13904877054322,44.49664907312591,"rgba(38, 166, 154, 1.0)",2,1.0864620648619716,2.172924129723943,0.0,0.0,0.0,0.0
2025-05-05 17:00:00+00:00,51.62,51.775,51.355,51.575,54211.0,43.39463089300384,45.10957724210442,46.20797360074874,45.08516509968198,"rgba(38, 166, 154, 1.0)",2,1.0498098718743085,2.099619743748617,0.0,0.0,0.0,0.0
2025-05-06 17:00:00+00:00,50.665,51.115,50.645,51.03,28368.0,43.41558059371646,45.13216563942025,46.23913574013227,45.10769276389617,"rgba(38, 166, 154, 1.0)",2,1.0250827406440417,2.0501654812880834,0.0,0.0,0.0,0.0
2025-05-07 17:00:00+00:00,51.05,51.285,50.665,51.245,48066.0,43.45144552606313,45.17092315635455,46.29250043327948,45.15856443980703,"rgba(38, 166, 154, 1.0)",2,0.9989399498630065,1.997879899726013,0.0,0.0,0.0,0.0
2025-05-08 17:00:00+00:00,50.895,50.96,50.335,50.435,62980.0,43.494951079494065,45.2168019745711,46.35368790187211,45.20856522848597,"rgba(38, 166, 154, 1.0)",2,0.9825371914297988,1.9650743828595976,0.0,0.0,0.0,0.0
2025-05-09 17:00:00+00:00,48.87,49.61,48.72,49.61,66985.0,43.532492634459786,45.25344955390407,46.39797357322353,45.225701628402476,"rgba(38, 166, 154, 1.0)",2,0.9734307837838706,1.9468615675677412,0.0,0.0,0.0,0.0
2025-05-12 17:00:00+00:00,48.175,48.69,47.95,48.68,83853.0,43.57181306790197,45.288739770320184,46.435519805305475,45.22877390285713,"rgba(239, 83, 80, 1.0)",2,0.9700038882265378,1.9400077764530756,0.0,0.0,0.0,0.0
2025-05-13 17:00:00+00:00,48.265,48.405,47.935,48.09,48370.0,43.59284469405471,45.30686024928067,46.453443228025066,45.23031120739016,"rgba(239, 83, 80, 1.0)",2,0.968888913370322,1.937777826740644,0.0,0.0,0.0,0.0
2025-05-14 17:00:00+00:00,47.26,47.88,47.17,47.86,63753.0,43.61721737463398,45.326191115114405,46.46958701924431,45.52076189915307,"rgba(239, 83, 80, 1.0)",2,0.9686426019990491,1.9372852039980981,0.0,0.0,0.0,0.0
2025-05-15 17:00:00+00:00,48.82,49.08,48.74,49.05,48238.0,43.64145669072613,45.348840983485424,46.49500006213539,45.56765946951568,"rgba(239, 83, 80, 1.0)",2,0.9639273071624403,1.9278546143248807,0.0,0.0,0.0,0.0
2025-05-16 17:00:00+00:00,48.88,49.4,48.66,49.375,45091.0,43.664712305636066,45.370851071198295,46.52007183086848,45.601077614751674,"rgba(239, 83, 80, 1.0)",2,0.9586986803554376,1.9173973607108752,0.0,0.0,0.0,0.0
2025-05-19 17:00:00+00:00,49.345,49.82,49.33,49.805,17570.0,43.67455374891874,45.380500591629286,46.531574230823196,45.61739413853905,"rgba(239, 83, 80, 1.0)",2,0.9523241783294281,1.9046483566588561,0.0,0.0,0.0,0.0
2025-05-20 17:00:00+00:00,49.82,50.16,49.8,50.045,79324.0,43.72116385647173,45.427055581047654,46.588179135260226,45.69284450516518,"rgba(239, 83, 80, 1.0)",2,0.9446600022049069,1.8893200044098137,0.0,0.0,0.0,0.0
