date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-12-06 00:00:00+00:00,3.11,3.27,3.1,3.2,1533439,3,0.2915432226288243,0.8746296678864729,3.5163273692265165
2024-12-09 00:00:00+00:00,3.24,3.38,3.17,3.2,1638490,3,0.2912788304577519,0.8738364913732557,3.5149213482634023
2024-12-10 00:00:00+00:00,3.1,3.21,3.02,3.2,1426794,3,0.2913471580356117,0.874041474106835,3.5112878694754803
2024-12-11 00:00:00+00:00,3.04,3.11,2.97,3.11,1292288,3,0.29140127393995374,0.8742038218198612,3.507240093925404
2024-12-12 00:00:00+00:00,3.15,3.21,2.96,3.05,1671166,3,0.2912577241546741,0.8737731724640223,3.503483293630238
2024-12-13 00:00:00+00:00,3.08,3.135,3.0,3.09,1270510,3,0.29123492049363336,0.8737047614809001,3.5003379171253073
2024-12-16 00:00:00+00:00,3.06,3.12,3.0,3.04,1104889,3,0.29122006027605796,0.8736601808281739,3.4975903108692683
2024-12-17 00:00:00+00:00,2.97,3.095,2.94,3.02,1397580,3,0.29127410537532455,0.8738223161259737,3.4934972817179273
2024-12-18 00:00:00+00:00,2.72,2.99,2.69,2.95,1835589,3,0.29057796553085163,0.871733896592555,3.4850921666761083
2024-12-19 00:00:00+00:00,2.75,2.83,2.72,2.79,1167017,3,0.2900482878548732,0.8701448635646196,3.4796742171545096
2024-12-20 00:00:00+00:00,2.72,2.8,2.7,2.71,1349502,3,0.28938352529006434,0.8681505758701931,3.4733474018498827
2024-12-23 00:00:00+00:00,2.69,2.77,2.66,2.72,1636269,3,0.2892388511466207,0.8677165534398621,3.4655592267786366
2024-12-24 00:00:00+00:00,2.79,2.83,2.695,2.7,911800,3,0.290191860465246,0.8705755813957379,3.461854517087302
2024-12-26 00:00:00+00:00,2.8,2.86,2.74,2.75,940632,3,0.29229900720012925,0.8768970216003877,3.458336676824433
2024-12-27 00:00:00+00:00,2.82,2.89,2.76,2.76,971373,3,0.29524111968905986,0.8857233590671796,3.4549665101317224
2024-12-30 00:00:00+00:00,2.7,2.77,2.67,2.75,1447274,3,0.29908184200240545,0.8972455260072163,3.4488578339164193
2024-12-31 00:00:00+00:00,2.62,2.7,2.59,2.7,1341614,3,0.3000630547234167,0.9001891641702502,3.366800891344031
2025-01-02 00:00:00+00:00,2.78,2.88,2.66,2.66,1720638,4,0.2775502136044683,1.1102008544178732,3.364903138545524
2025-01-03 00:00:00+00:00,2.86,2.88,2.77,2.82,754959,4,0.2811360384715358,1.1245441538861431,3.364012675920088
2025-01-06 00:00:00+00:00,3.1,3.14,2.905,2.91,1576515,4,0.28371775236988034,1.1348710094795214,3.366588113333956
2025-01-07 00:00:00+00:00,3.07,3.2,3.0345,3.12,1234483,4,0.28597765026263405,1.1439106010505362,3.3207871473518593
2025-01-08 00:00:00+00:00,2.98,3.04,2.89,3.04,1078258,4,0.288917141676107,1.155668566704428,3.3166053438104868
2025-01-10 00:00:00+00:00,2.89,2.95,2.805,2.95,851662,4,0.29035069923663437,1.1614027969465375,3.3125593403596754
2025-01-13 00:00:00+00:00,2.86,2.87,2.775,2.87,756158,4,0.29163373210514854,1.1665349284205941,3.3089035485037726
2025-01-14 00:00:00+00:00,2.93,2.95,2.85,2.88,844297,4,0.2938891713809884,1.1755566855239536,3.30686665275023
2025-01-15 00:00:00+00:00,2.96,3.04,2.94,2.99,543890,4,0.2945621133099665,1.178248453239866,3.306424109304453
2025-01-16 00:00:00+00:00,2.99,3.03,2.95,3.0,555485,4,0.29574512858024093,1.1829805143209637,3.3060392528609794
2025-01-17 00:00:00+00:00,3.0,3.08,2.96,2.99,727670,4,0.29663545938219,1.18654183752876,3.3057796113270492
